Transaction Date,Customer ID,Customer Name,Order ID,Product ID,Product Name,Product Category,Quantity,Unit Price,Total Amount,Transaction Type,Return Reason
09/22/2023,C308,Customer 308,ORD00026,P025,Slim Vintage Shirts,Shirts,2,90.71,181.42,PURCHASE,
08/01/2023,C207,Customer 207,ORD00027,P010,Premium Casual Accessories,Accessories,1,139.32,139.32,PURCHASE,
06/23/2023,C118,Customer 118,ORD00028,P003,Basic Athletic Shirts,Shirts,2,194.57,389.14,PURCHASE,
01/25/2023,C173,Customer 173,ORD00029,P036,Basic Modern Underwear,Underwear,2,299.73,599.46,PURCHASE,
04/29/2023,C052,Customer 52,ORD00030,P025,Slim Vintage Shirts,Shirts,2,90.71,181.42,PURCHASE,
07/10/2023,C336,Customer 336,ORD00031,P033,Ultra Casual Dresses,Dresses,1,208.62,208.62,PURCHASE,
07/16/2023,C336,Customer 336,ORD00031,P033,Ultra Casual Dresses,Dresses,-1,208.62,-208.62,RETURN,Style Not as Expected
08/12/2023,C435,Customer 435,ORD00032,P015,Signature Formal Jackets,Jackets,3,78.25,234.75,PURCHASE,
03/06/2023,C136,Customer 136,ORD00033,P017,Basic Athletic Jackets,Jackets,2,275.6,551.2,PURCHASE,
03/11/2023,C136,Customer 136,ORD00033,P017,Basic Athletic Jackets,Jackets,-2,275.6,-551.2,RETURN,Quality Issues
12/11/2023,C162,Customer 162,ORD00034,P030,Ultra Casual Dresses,Dresses,3,160.11,480.33,PURCHASE,
09/01/2023,C202,Customer 202,ORD00035,P044,Deluxe Modern Accessories,Accessories,1,247.62,247.62,PURCHASE,
03/14/2023,C195,Customer 195,ORD00036,P046,Premium Athletic Outerwear,Outerwear,2,238.48,476.96,PURCHASE,
03/19/2023,C195,Customer 195,ORD00036,P046,Premium Athletic Outerwear,Outerwear,-2,238.48,-476.96,RETURN,Style Not as Expected
08/30/2023,C396,Customer 396,ORD00037,P046,Premium Athletic Outerwear,Outerwear,3,238.48,715.44,PURCHASE,
09/08/2023,C396,Customer 396,ORD00037,P046,Premium Athletic Outerwear,Outerwear,-3,238.48,-715.44,RETURN,Quality Issues
03/14/2023,C112,Customer 112,ORD00038,P022,Signature Formal Jackets,Jackets,2,61.31,122.62,PURCHASE,
07/05/2023,C299,Customer 299,ORD00039,P028,Essential Formal Accessories,Accessories,3,155.65,466.95,PURCHASE,
12/29/2023,C227,Customer 227,ORD00040,P016,Luxury Casual Dresses,Dresses,2,159.32,318.64,PURCHASE,
04/05/2023,C493,Customer 493,ORD00041,P050,Classic Casual Jackets,Jackets,2,180.01,360.02,PURCHASE,
04/06/2023,C493,Customer 493,ORD00041,P050,Classic Casual Jackets,Jackets,-2,180.01,-360.02,RETURN,Quality Issues
08/30/2023,C017,Customer 17,ORD00042,P004,Ultra Casual Shirts,Shirts,1,118.58,118.58,PURCHASE,
09/03/2023,C017,Customer 17,ORD00042,P004,Ultra Casual Shirts,Shirts,-1,118.58,-118.58,RETURN,Wrong Size
05/15/2023,C384,Customer 384,ORD00043,P031,Classic Vintage Swimwear,Swimwear,2,282.96,565.92,PURCHASE,
05/31/2023,C296,Customer 296,ORD00044,P032,Ultra Casual Accessories,Accessories,1,252.74,252.74,PURCHASE,
06/28/2023,C148,Customer 148,ORD00045,P021,Basic Athletic Swimwear,Swimwear,1,128.01,128.01,PURCHASE,
01/03/2023,C051,Customer 51,ORD00046,P010,Premium Casual Accessories,Accessories,2,139.32,278.64,PURCHASE,
04/13/2023,C207,Customer 207,ORD00047,P043,Deluxe Formal Underwear,Underwear,2,79.21,158.42,PURCHASE,
03/14/2023,C290,Customer 290,ORD00048,P044,Deluxe Modern Accessories,Accessories,1,247.62,247.62,PURCHASE,
07/27/2023,C443,Customer 443,ORD00049,P019,Essential Casual Dresses,Dresses,1,198.26,198.26,PURCHASE,
08/04/2023,C443,Customer 443,ORD00049,P019,Essential Casual Dresses,Dresses,-1,198.26,-198.26,RETURN,Fit Issues
12/19/2023,C126,Customer 126,ORD00050,P028,Essential Formal Accessories,Accessories,3,155.65,466.95,PURCHASE,
12/29/2023,C126,Customer 126,ORD00050,P028,Essential Formal Accessories,Accessories,-3,155.65,-466.95,RETURN,Quality Issues
10/02/2023,C442,Customer 442,ORD00051,P039,Essential Athletic Footwear,Footwear,1,236.29,236.29,PURCHASE,
10/07/2023,C332,Customer 332,ORD00052,P048,Luxury Formal Footwear,Footwear,2,28.94,57.88,PURCHASE,
03/19/2023,C082,Customer 82,ORD00053,P047,Signature Casual Dresses,Dresses,1,130.88,130.88,PURCHASE,
03/14/2023,C496,Customer 496,ORD00054,P008,Premium Athletic Underwear,Underwear,1,100.59,100.59,PURCHASE,
05/14/2023,C486,Customer 486,ORD00055,P006,Deluxe Casual Footwear,Footwear,2,59.92,119.84,PURCHASE,
11/11/2023,C445,Customer 445,ORD00056,P004,Ultra Casual Shirts,Shirts,1,118.58,118.58,PURCHASE,
10/21/2023,C095,Customer 95,ORD00057,P007,Classic Athletic Pants,Pants,3,232.75,698.25,PURCHASE,
01/21/2023,C361,Customer 361,ORD00058,P008,Premium Athletic Underwear,Underwear,2,100.59,201.18,PURCHASE,
03/30/2023,C280,Customer 280,ORD00059,P029,Premium Formal Shirts,Shirts,2,32.48,64.96,PURCHASE,
04/12/2023,C280,Customer 280,ORD00059,P029,Premium Formal Shirts,Shirts,-2,32.48,-64.96,RETURN,Wrong Size
05/26/2023,C495,Customer 495,ORD00060,P036,Basic Modern Underwear,Underwear,3,299.73,899.19,PURCHASE,
11/03/2023,C348,Customer 348,ORD00061,P021,Basic Athletic Swimwear,Swimwear,1,128.01,128.01,PURCHASE,
11/11/2023,C348,Customer 348,ORD00061,P021,Basic Athletic Swimwear,Swimwear,-1,128.01,-128.01,RETURN,Wrong Size
01/03/2023,C025,Customer 25,ORD00062,P016,Luxury Casual Dresses,Dresses,1,159.32,159.32,PURCHASE,
01/06/2023,C025,Customer 25,ORD00062,P016,Luxury Casual Dresses,Dresses,-1,159.32,-159.32,RETURN,Style Not as Expected
03/27/2023,C267,Customer 267,ORD00063,P034,Signature Modern Outerwear,Outerwear,1,289.46,289.46,PURCHASE,
03/31/2023,C267,Customer 267,ORD00063,P034,Signature Modern Outerwear,Outerwear,-1,289.46,-289.46,RETURN,Style Not as Expected
09/11/2023,C448,Customer 448,ORD00064,P045,Essential Modern Shirts,Shirts,2,248.15,496.3,PURCHASE,
09/19/2023,C448,Customer 448,ORD00064,P045,Essential Modern Shirts,Shirts,-2,248.15,-496.3,RETURN,Fit Issues
07/29/2023,C398,Customer 398,ORD00065,P029,Premium Formal Shirts,Shirts,3,32.48,97.44,PURCHASE,
07/30/2023,C398,Customer 398,ORD00065,P029,Premium Formal Shirts,Shirts,-3,32.48,-97.44,RETURN,Fit Issues
11/28/2023,C372,Customer 372,ORD00066,P003,Basic Athletic Shirts,Shirts,2,194.57,389.14,PURCHASE,
06/08/2023,C126,Customer 126,ORD00067,P008,Premium Athletic Underwear,Underwear,1,100.59,100.59,PURCHASE,
11/23/2023,C132,Customer 132,ORD00068,P049,Premium Athletic Accessories,Accessories,2,31.24,62.48,PURCHASE,
11/28/2023,C132,Customer 132,ORD00068,P049,Premium Athletic Accessories,Accessories,-2,31.24,-62.48,RETURN,Wrong Item Received
10/24/2023,C350,Customer 350,ORD00069,P003,Basic Athletic Shirts,Shirts,2,194.57,389.14,PURCHASE,
04/30/2023,C413,Customer 413,ORD00070,P023,Luxury Casual Footwear,Footwear,1,283.44,283.44,PURCHASE,
05/13/2023,C413,Customer 413,ORD00070,P023,Luxury Casual Footwear,Footwear,-1,283.44,-283.44,RETURN,Wrong Size
03/20/2023,C283,Customer 283,ORD00071,P030,Ultra Casual Dresses,Dresses,1,160.11,160.11,PURCHASE,
03/31/2023,C333,Customer 333,ORD00072,P046,Premium Athletic Outerwear,Outerwear,1,238.48,238.48,PURCHASE,
12/02/2023,C048,Customer 48,ORD00073,P004,Ultra Casual Shirts,Shirts,1,118.58,118.58,PURCHASE,
10/04/2023,C419,Customer 419,ORD00074,P002,Relaxed Formal Underwear,Underwear,1,83.35,83.35,PURCHASE,
10/12/2023,C419,Customer 419,ORD00074,P002,Relaxed Formal Underwear,Underwear,-1,83.35,-83.35,RETURN,Quality Issues
01/22/2023,C462,Customer 462,ORD00075,P015,Signature Formal Jackets,Jackets,1,78.25,78.25,PURCHASE,
07/02/2023,C027,Customer 27,ORD00076,P002,Relaxed Formal Underwear,Underwear,1,83.35,83.35,PURCHASE,
07/15/2023,C027,Customer 27,ORD00076,P002,Relaxed Formal Underwear,Underwear,-1,83.35,-83.35,RETURN,Fit Issues
10/09/2023,C430,Customer 430,ORD00077,P032,Ultra Casual Accessories,Accessories,2,252.74,505.48,PURCHASE,
04/19/2023,C080,Customer 80,ORD00078,P011,Essential Vintage Shirts,Shirts,3,54.34,163.02,PURCHASE,
09/08/2023,C236,Customer 236,ORD00079,P006,Deluxe Casual Footwear,Footwear,1,59.92,59.92,PURCHASE,
05/07/2023,C313,Customer 313,ORD00080,P023,Luxury Casual Footwear,Footwear,2,283.44,566.88,PURCHASE,
07/28/2023,C130,Customer 130,ORD00081,P013,Slim Modern Footwear,Footwear,3,296.95,890.85,PURCHASE,
08/03/2023,C130,Customer 130,ORD00081,P013,Slim Modern Footwear,Footwear,-3,296.95,-890.85,RETURN,Style Not as Expected
12/30/2023,C352,Customer 352,ORD00082,P007,Classic Athletic Pants,Pants,1,232.75,232.75,PURCHASE,
04/20/2023,C169,Customer 169,ORD00083,P008,Premium Athletic Underwear,Underwear,1,100.59,100.59,PURCHASE,
05/23/2023,C214,Customer 214,ORD00084,P035,Basic Athletic Activewear,Activewear,3,242.57,727.71,PURCHASE,
05/22/2023,C242,Customer 242,ORD00085,P039,Essential Athletic Footwear,Footwear,3,236.29,708.87,PURCHASE,
05/01/2023,C125,Customer 125,ORD00086,P049,Premium Athletic Accessories,Accessories,1,31.24,31.24,PURCHASE,
08/05/2023,C296,Customer 296,ORD00087,P016,Luxury Casual Dresses,Dresses,3,159.32,477.96,PURCHASE,
08/21/2023,C296,Customer 296,ORD00088,P007,Classic Athletic Pants,Pants,1,232.75,232.75,PURCHASE,
04/05/2023,C036,Customer 36,ORD00089,P045,Essential Modern Shirts,Shirts,2,248.15,496.3,PURCHASE,
02/19/2023,C389,Customer 389,ORD00090,P046,Premium Athletic Outerwear,Outerwear,2,238.48,476.96,PURCHASE,
08/27/2023,C423,Customer 423,ORD00091,P030,Ultra Casual Dresses,Dresses,3,160.11,480.33,PURCHASE,
08/29/2023,C423,Customer 423,ORD00091,P030,Ultra Casual Dresses,Dresses,-3,160.11,-480.33,RETURN,Fit Issues
12/09/2023,C392,Customer 392,ORD00092,P021,Basic Athletic Swimwear,Swimwear,3,128.01,384.03,PURCHASE,
12/14/2023,C392,Customer 392,ORD00092,P021,Basic Athletic Swimwear,Swimwear,-3,128.01,-384.03,RETURN,Quality Issues
06/26/2023,C073,Customer 73,ORD00093,P041,Relaxed Casual Activewear,Activewear,2,254.31,508.62,PURCHASE,
11/24/2023,C407,Customer 407,ORD00094,P012,Premium Modern Dresses,Dresses,3,54.8,164.4,PURCHASE,
01/21/2023,C256,Customer 256,ORD00095,P033,Ultra Casual Dresses,Dresses,1,208.62,208.62,PURCHASE,
01/23/2023,C256,Customer 256,ORD00095,P033,Ultra Casual Dresses,Dresses,-1,208.62,-208.62,RETURN,Style Not as Expected
12/24/2023,C106,Customer 106,ORD00096,P045,Essential Modern Shirts,Shirts,3,248.15,744.45,PURCHASE,
12/28/2023,C106,Customer 106,ORD00096,P045,Essential Modern Shirts,Shirts,-3,248.15,-744.45,RETURN,Style Not as Expected
03/21/2023,C353,Customer 353,ORD00097,P015,Signature Formal Jackets,Jackets,3,78.25,234.75,PURCHASE,
04/12/2023,C257,Customer 257,ORD00098,P032,Ultra Casual Accessories,Accessories,1,252.74,252.74,PURCHASE,
04/23/2023,C240,Customer 240,ORD00099,P033,Ultra Casual Dresses,Dresses,2,208.62,417.24,PURCHASE,
11/19/2023,C283,Customer 283,ORD00100,P019,Essential Casual Dresses,Dresses,3,198.26,594.78,PURCHASE,
02/05/2023,C180,Customer 180,ORD00101,P029,Premium Formal Shirts,Shirts,3,32.48,97.44,PURCHASE,
02/17/2023,C180,Customer 180,ORD00101,P029,Premium Formal Shirts,Shirts,-3,32.48,-97.44,RETURN,Color Mismatch
01/02/2023,C128,Customer 128,ORD00102,P026,Classic Modern Pants,Pants,3,296.67,890.01,PURCHASE,
09/27/2023,C070,Customer 70,ORD00103,P006,Deluxe Casual Footwear,Footwear,2,59.92,119.84,PURCHASE,
02/21/2023,C440,Customer 440,ORD00104,P018,Deluxe Casual Underwear,Underwear,2,175.89,351.78,PURCHASE,
05/28/2023,C079,Customer 79,ORD00105,P022,Signature Formal Jackets,Jackets,1,61.31,61.31,PURCHASE,
06/01/2023,C079,Customer 79,ORD00105,P022,Signature Formal Jackets,Jackets,-1,61.31,-61.31,RETURN,Changed Mind
07/05/2023,C345,Customer 345,ORD00106,P017,Basic Athletic Jackets,Jackets,3,275.6,826.8,PURCHASE,
10/29/2023,C257,Customer 257,ORD00107,P018,Deluxe Casual Underwear,Underwear,2,175.89,351.78,PURCHASE,
04/27/2023,C262,Customer 262,ORD00108,P037,Deluxe Vintage Shirts,Shirts,3,129.15,387.45,PURCHASE,
07/09/2023,C459,Customer 459,ORD00109,P029,Premium Formal Shirts,Shirts,1,32.48,32.48,PURCHASE,
07/21/2023,C459,Customer 459,ORD00109,P029,Premium Formal Shirts,Shirts,-1,32.48,-32.48,RETURN,Wrong Size
03/20/2023,C129,Customer 129,ORD00110,P037,Deluxe Vintage Shirts,Shirts,2,129.15,258.3,PURCHASE,
03/26/2023,C068,Customer 68,ORD00111,P026,Classic Modern Pants,Pants,3,296.67,890.01,PURCHASE,
05/02/2023,C269,Customer 269,ORD00112,P022,Signature Formal Jackets,Jackets,3,61.31,183.93,PURCHASE,
07/23/2023,C263,Customer 263,ORD00113,P036,Basic Modern Underwear,Underwear,3,299.73,899.19,PURCHASE,
03/13/2023,C311,Customer 311,ORD00114,P022,Signature Formal Jackets,Jackets,1,61.31,61.31,PURCHASE,
03/25/2023,C311,Customer 311,ORD00114,P022,Signature Formal Jackets,Jackets,-1,61.31,-61.31,RETURN,Fit Issues
04/19/2023,C228,Customer 228,ORD00115,P050,Classic Casual Jackets,Jackets,3,180.01,540.03,PURCHASE,
07/28/2023,C409,Customer 409,ORD00116,P029,Premium Formal Shirts,Shirts,3,32.48,97.44,PURCHASE,
04/27/2023,C457,Customer 457,ORD00117,P038,Classic Formal Activewear,Activewear,2,41.55,83.1,PURCHASE,
05/03/2023,C457,Customer 457,ORD00117,P038,Classic Formal Activewear,Activewear,-2,41.55,-83.1,RETURN,Fit Issues
03/28/2023,C499,Customer 499,ORD00118,P017,Basic Athletic Jackets,Jackets,2,275.6,551.2,PURCHASE,
08/08/2023,C293,Customer 293,ORD00119,P010,Premium Casual Accessories,Accessories,1,139.32,139.32,PURCHASE,
08/18/2023,C293,Customer 293,ORD00119,P010,Premium Casual Accessories,Accessories,-1,139.32,-139.32,RETURN,Wrong Size
08/13/2023,C441,Customer 441,ORD00120,P029,Premium Formal Shirts,Shirts,3,32.48,97.44,PURCHASE,
08/18/2023,C441,Customer 441,ORD00120,P029,Premium Formal Shirts,Shirts,-3,32.48,-97.44,RETURN,Style Not as Expected
01/02/2023,C202,Customer 202,ORD00121,P019,Essential Casual Dresses,Dresses,3,198.26,594.78,PURCHASE,
01/16/2023,C202,Customer 202,ORD00121,P019,Essential Casual Dresses,Dresses,-3,198.26,-594.78,RETURN,Wrong Size
11/20/2023,C088,Customer 88,ORD00122,P004,Ultra Casual Shirts,Shirts,2,118.58,237.16,PURCHASE,
02/06/2023,C400,Customer 400,ORD00123,P040,Ultra Casual Underwear,Underwear,3,143.86,431.58,PURCHASE,
02/07/2023,C400,Customer 400,ORD00123,P040,Ultra Casual Underwear,Underwear,-3,143.86,-431.58,RETURN,Style Not as Expected
09/21/2023,C231,Customer 231,ORD00124,P027,Essential Modern Accessories,Accessories,1,280.55,280.55,PURCHASE,
12/03/2023,C269,Customer 269,ORD00125,P046,Premium Athletic Outerwear,Outerwear,1,238.48,238.48,PURCHASE,
01/20/2023,C350,Customer 350,ORD00126,P036,Basic Modern Underwear,Underwear,2,299.73,599.46,PURCHASE,
02/02/2023,C350,Customer 350,ORD00126,P036,Basic Modern Underwear,Underwear,-2,299.73,-599.46,RETURN,Style Not as Expected
10/11/2023,C230,Customer 230,ORD00127,P038,Classic Formal Activewear,Activewear,2,41.55,83.1,PURCHASE,
10/16/2023,C230,Customer 230,ORD00127,P038,Classic Formal Activewear,Activewear,-2,41.55,-83.1,RETURN,Defective Product
05/05/2023,C457,Customer 457,ORD00128,P037,Deluxe Vintage Shirts,Shirts,1,129.15,129.15,PURCHASE,
05/11/2023,C457,Customer 457,ORD00128,P037,Deluxe Vintage Shirts,Shirts,-1,129.15,-129.15,RETURN,Style Not as Expected
10/31/2023,C299,Customer 299,ORD00129,P031,Classic Vintage Swimwear,Swimwear,3,282.96,848.88,PURCHASE,
11/01/2023,C299,Customer 299,ORD00129,P031,Classic Vintage Swimwear,Swimwear,-3,282.96,-848.88,RETURN,Color Mismatch
10/12/2023,C047,Customer 47,ORD00130,P045,Essential Modern Shirts,Shirts,3,248.15,744.45,PURCHASE,
10/26/2023,C047,Customer 47,ORD00130,P045,Essential Modern Shirts,Shirts,-3,248.15,-744.45,RETURN,Style Not as Expected
01/29/2023,C196,Customer 196,ORD00131,P005,Slim Vintage Pants,Pants,3,225.34,676.02,PURCHASE,
11/07/2023,C017,Customer 17,ORD00132,P039,Essential Athletic Footwear,Footwear,1,236.29,236.29,PURCHASE,
08/14/2023,C428,Customer 428,ORD00133,P012,Premium Modern Dresses,Dresses,2,54.8,109.6,PURCHASE,
08/27/2023,C428,Customer 428,ORD00133,P012,Premium Modern Dresses,Dresses,-2,54.8,-109.6,RETURN,Color Mismatch
06/16/2023,C421,Customer 421,ORD00134,P016,Luxury Casual Dresses,Dresses,3,159.32,477.96,PURCHASE,
06/24/2023,C421,Customer 421,ORD00134,P016,Luxury Casual Dresses,Dresses,-3,159.32,-477.96,RETURN,Wrong Size
03/05/2023,C069,Customer 69,ORD00135,P015,Signature Formal Jackets,Jackets,3,78.25,234.75,PURCHASE,
09/10/2023,C101,Customer 101,ORD00136,P047,Signature Casual Dresses,Dresses,1,130.88,130.88,PURCHASE,
06/02/2023,C357,Customer 357,ORD00137,P043,Deluxe Formal Underwear,Underwear,3,79.21,237.63,PURCHASE,
06/26/2023,C149,Customer 149,ORD00138,P003,Basic Athletic Shirts,Shirts,1,194.57,194.57,PURCHASE,
06/28/2023,C149,Customer 149,ORD00138,P003,Basic Athletic Shirts,Shirts,-1,194.57,-194.57,RETURN,Style Not as Expected
03/26/2023,C139,Customer 139,ORD00139,P005,Slim Vintage Pants,Pants,1,225.34,225.34,PURCHASE,
12/10/2023,C168,Customer 168,ORD00140,P018,Deluxe Casual Underwear,Underwear,1,175.89,175.89,PURCHASE,
09/07/2023,C414,Customer 414,ORD00141,P021,Basic Athletic Swimwear,Swimwear,2,128.01,256.02,PURCHASE,
03/24/2023,C151,Customer 151,ORD00142,P044,Deluxe Modern Accessories,Accessories,3,247.62,742.86,PURCHASE,
03/26/2023,C332,Customer 332,ORD00143,P014,Luxury Formal Footwear,Footwear,2,213.95,427.9,PURCHASE,
11/21/2023,C233,Customer 233,ORD00144,P016,Luxury Casual Dresses,Dresses,3,159.32,477.96,PURCHASE,
04/16/2023,C179,Customer 179,ORD00145,P016,Luxury Casual Dresses,Dresses,1,159.32,159.32,PURCHASE,
12/13/2023,C433,Customer 433,ORD00146,P045,Essential Modern Shirts,Shirts,2,248.15,496.3,PURCHASE,
12/15/2023,C433,Customer 433,ORD00146,P045,Essential Modern Shirts,Shirts,-2,248.15,-496.3,RETURN,Style Not as Expected
11/12/2023,C001,Customer 1,ORD00147,P008,Premium Athletic Underwear,Underwear,1,100.59,100.59,PURCHASE,
01/02/2023,C274,Customer 274,ORD00148,P043,Deluxe Formal Underwear,Underwear,1,79.21,79.21,PURCHASE,
03/22/2023,C407,Customer 407,ORD00149,P042,Luxury Modern Pants,Pants,3,294.81,884.43,PURCHASE,
06/18/2023,C104,Customer 104,ORD00150,P017,Basic Athletic Jackets,Jackets,2,275.6,551.2,PURCHASE,
06/19/2023,C104,Customer 104,ORD00150,P017,Basic Athletic Jackets,Jackets,-2,275.6,-551.2,RETURN,Better Price Found
05/13/2023,C186,Customer 186,ORD00151,P013,Slim Modern Footwear,Footwear,2,296.95,593.9,PURCHASE,
05/15/2023,C186,Customer 186,ORD00151,P013,Slim Modern Footwear,Footwear,-2,296.95,-593.9,RETURN,Wrong Size
09/21/2023,C241,Customer 241,ORD00152,P021,Basic Athletic Swimwear,Swimwear,1,128.01,128.01,PURCHASE,
09/18/2023,C297,Customer 297,ORD00153,P002,Relaxed Formal Underwear,Underwear,2,83.35,166.7,PURCHASE,
09/30/2023,C297,Customer 297,ORD00153,P002,Relaxed Formal Underwear,Underwear,-2,83.35,-166.7,RETURN,Defective Product
11/25/2023,C362,Customer 362,ORD00154,P012,Premium Modern Dresses,Dresses,3,54.8,164.4,PURCHASE,
01/25/2023,C310,Customer 310,ORD00155,P005,Slim Vintage Pants,Pants,1,225.34,225.34,PURCHASE,
01/15/2023,C364,Customer 364,ORD00156,P044,Deluxe Modern Accessories,Accessories,3,247.62,742.86,PURCHASE,
02/22/2023,C184,Customer 184,ORD00157,P038,Classic Formal Activewear,Activewear,3,41.55,124.65,PURCHASE,
12/31/2023,C228,Customer 228,ORD00158,P026,Classic Modern Pants,Pants,1,296.67,296.67,PURCHASE,
01/14/2024,C228,Customer 228,ORD00158,P026,Classic Modern Pants,Pants,-1,296.67,-296.67,RETURN,Style Not as Expected
03/10/2023,C405,Customer 405,ORD00159,P014,Luxury Formal Footwear,Footwear,1,213.95,213.95,PURCHASE,
03/11/2023,C405,Customer 405,ORD00159,P014,Luxury Formal Footwear,Footwear,-1,213.95,-213.95,RETURN,Style Not as Expected
01/19/2023,C205,Customer 205,ORD00160,P041,Relaxed Casual Activewear,Activewear,1,254.31,254.31,PURCHASE,
08/09/2023,C188,Customer 188,ORD00161,P017,Basic Athletic Jackets,Jackets,2,275.6,551.2,PURCHASE,
01/13/2023,C310,Customer 310,ORD00162,P011,Essential Vintage Shirts,Shirts,3,54.34,163.02,PURCHASE,
09/25/2023,C266,Customer 266,ORD00163,P027,Essential Modern Accessories,Accessories,2,280.55,561.1,PURCHASE,
12/20/2023,C324,Customer 324,ORD00164,P013,Slim Modern Footwear,Footwear,2,296.95,593.9,PURCHASE,
09/21/2023,C317,Customer 317,ORD00165,P001,Classic Formal Dresses,Dresses,3,146.34,439.02,PURCHASE,
04/27/2023,C369,Customer 369,ORD00166,P033,Ultra Casual Dresses,Dresses,2,208.62,417.24,PURCHASE,
04/30/2023,C369,Customer 369,ORD00166,P033,Ultra Casual Dresses,Dresses,-2,208.62,-417.24,RETURN,Wrong Size
05/30/2023,C354,Customer 354,ORD00167,P005,Slim Vintage Pants,Pants,2,225.34,450.68,PURCHASE,
02/22/2023,C128,Customer 128,ORD00168,P025,Slim Vintage Shirts,Shirts,2,90.71,181.42,PURCHASE,
05/08/2023,C272,Customer 272,ORD00169,P037,Deluxe Vintage Shirts,Shirts,2,129.15,258.3,PURCHASE,
05/16/2023,C137,Customer 137,ORD00170,P020,Classic Vintage Footwear,Footwear,1,199.09,199.09,PURCHASE,
